observation_date,number_found,common_name,running_total_per_species,running_total_all
2007-10-01,500.0,"Common reed grass, phragmites",500.0,500.0
2007-10-01,20.0,"Tree-of-heaven, Ailanthus",20.0,520.0
2009-06-01,1000.0,"Common reed grass, phragmites",1500.0,1520.0
2011-06-01,40.0,"Tree-of-heaven, Ailanthus",60.0,1560.0
2011-06-01,5.0,"Tree-of-heaven, Ailanthus",65.0,1565.0
2011-06-01,20.0,"Tree-of-heaven, Ailanthus",85.0,1585.0
2011-06-01,10.0,"Tree-of-heaven, Ailanthus",95.0,1595.0
2011-06-01,10.0,"Tree-of-heaven, Ailanthus",105.0,1605.0
2011-07-01,40.0,"Tree-of-heaven, Ailanthus",145.0,1645.0
2011-07-01,30.0,"Tree-of-heaven, Ailanthus",175.0,1675.0
2011-07-01,100000.0,"Common reed grass, phragmites",101500.0,101675.0
2011-07-01,10.0,"Tree-of-heaven, Ailanthus",185.0,101685.0
2011-07-01,10000.0,"Common reed grass, phragmites",111500.0,111685.0
2011-07-01,20.0,"Tree-of-heaven, Ailanthus",205.0,111705.0
2011-07-01,15.0,"Tree-of-heaven, Ailanthus",220.0,111720.0
2011-07-01,50.0,"Tree-of-heaven, Ailanthus",270.0,111770.0
2011-07-01,10.0,"Tree-of-heaven, Ailanthus",280.0,111780.0
2011-07-01,100.0,"Tree-of-heaven, Ailanthus",380.0,111880.0
2011-07-01,6.0,"Tree-of-heaven, Ailanthus",386.0,111886.0
2011-07-01,6.0,"Tree-of-heaven, Ailanthus",392.0,111892.0
2011-07-01,10.0,"Tree-of-heaven, Ailanthus",402.0,111902.0
2011-08-01,100.0,Knotweed (species unknown),100.0,112002.0
2011-08-01,10000.0,"Common reed grass, phragmites",121500.0,122002.0
2011-08-01,5.0,"Tree-of-heaven, Ailanthus",407.0,122007.0
2011-08-01,50.0,Purple Loosestrife,50.0,122057.0
2011-08-01,500.0,"Common reed grass, phragmites",122000.0,122557.0
2011-09-01,10000.0,"Common reed grass, phragmites",132000.0,132557.0
2012-04-01,300.0,"Common reed grass, phragmites",132300.0,132857.0
2012-05-01,150.0,"Common reed grass, phragmites",132450.0,133007.0
2012-05-01,300.0,"Common reed grass, phragmites",132750.0,133307.0
2012-05-01,50.0,"Tree-of-heaven, Ailanthus",457.0,133357.0
2012-05-01,200.0,Knotweed (species unknown),300.0,133557.0
2012-05-01,500.0,"Common reed grass, phragmites",133250.0,134057.0
2012-05-01,100.0,"Common reed grass, phragmites",133350.0,134157.0
2012-05-05,10000.0,"Common reed grass, phragmites",143350.0,144157.0
2012-06-01,20.0,"Tree-of-heaven, Ailanthus",477.0,144177.0
2012-06-01,5.0,"Tree-of-heaven, Ailanthus",482.0,144182.0
2012-06-01,200.0,Knotweed (species unknown),500.0,144382.0
2012-07-01,300.0,"Common reed grass, phragmites",143650.0,144682.0
2012-07-01,500.0,Purple Loosestrife,550.0,145182.0
2012-07-01,20.0,Purple Loosestrife,570.0,145202.0
2012-07-01,100.0,"Common reed grass, phragmites",143750.0,145302.0
2012-07-01,2000.0,"Common reed grass, phragmites",145750.0,147302.0
2012-08-01,20.0,"Tree-of-heaven, Ailanthus",502.0,147322.0
2012-09-01,20.0,"Tree-of-heaven, Ailanthus",522.0,147342.0
2013-08-01,100.0,"Common reed grass, phragmites",145850.0,147442.0
2013-08-01,200.0,Purple Loosestrife,770.0,147642.0
2013-08-01,50.0,Purple Loosestrife,820.0,147692.0
2013-08-01,300.0,Purple Loosestrife,1120.0,147992.0
2013-08-01,500.0,Purple Loosestrife,1620.0,148492.0
2013-08-01,150.0,"Tree-of-heaven, Ailanthus",672.0,148642.0
2013-08-01,200.0,"Common reed grass, phragmites",146050.0,148842.0
2013-08-01,,"Common reed grass, phragmites",,
2013-08-01,100000.0,"Common reed grass, phragmites",246050.0,248842.0
2013-08-01,30.0,"Tree-of-heaven, Ailanthus",702.0,248872.0
2013-08-01,30.0,"Tree-of-heaven, Ailanthus",732.0,248902.0
2013-08-01,6.0,"Tree-of-heaven, Ailanthus",738.0,248908.0
2013-08-01,1000.0,"Common reed grass, phragmites",247050.0,249908.0
2013-09-01,50.0,Knotweed (species unknown),550.0,249958.0
2013-09-01,200.0,Purple Loosestrife,1820.0,250158.0
2013-09-01,1000.0,Knotweed (species unknown),1550.0,251158.0
2013-09-01,100.0,"Tree-of-heaven, Ailanthus",838.0,251258.0
2013-09-01,400.0,Knotweed (species unknown),1950.0,251658.0
2013-09-01,1000.0,Knotweed (species unknown),2950.0,252658.0
2013-10-01,10000.0,"Common reed grass, phragmites",257050.0,262658.0
2013-10-01,100.0,Knotweed (species unknown),3050.0,262758.0
2013-10-01,300.0,"Common reed grass, phragmites",257350.0,263058.0
2013-10-01,1000.0,Knotweed (species unknown),4050.0,264058.0
2014-07-01,50.0,Knotweed (species unknown),4100.0,264108.0
2014-07-01,50.0,Knotweed (species unknown),4150.0,264158.0
2014-07-01,1000.0,Knotweed (species unknown),5150.0,265158.0
