observation_date,number_found
25-Apr-2020,10000.0
01-Aug-2018,200.0
12-Feb-2020,500.0
01-Aug-2019,70.0
01-Nov-2019,1000.0
01-Jul-2012,2000.0
01-Aug-2018,200.0
01-Sep-2019,1000.0
01-Aug-2018,500.0
01-Aug-2018,1000.0
01-Jul-2019,10000.0
01-Sep-2018,400.0
01-Jan-2020,1000.0
03-Apr-2020,10000.0
01-May-2012,500.0
21-Feb-2020,100000.0
22-Feb-2020,1000.0
03-Apr-2020,10000.0
30-Nov-2015,300.0
01-Sep-2019,10000.0
01-Aug-2018,300.0
01-May-2012,300.0
26-Aug-2020,
01-Aug-2011,500.0
05-Feb-2020,100.0
09-Sep-2020,
01-Oct-2019,9000000.0
29-Nov-2019,200.0
11-Apr-2020,200.0
01-Sep-2019,300.0
26-Aug-2020,
03-Apr-2020,10000.0
12-Dec-2019,100.0
01-Jul-2019,10000.0
01-Jul-2019,1000.0
12-Apr-2020,10000000.0
01-Aug-2019,50000.0
01-Sep-2019,400.0
10-Dec-2019,10000.0
10-Mar-2020,1000.0
01-Oct-2019,1000.0
01-Oct-2018,10000000.0
08-Jul-2020,
01-Sep-2019,10000.0
01-Aug-2019,10000.0
01-Aug-2019,10000.0
01-Oct-2019,10000.0
01-Jul-2019,1000.0
08-Jul-2020,
01-Aug-2013,
01-Oct-2019,1000.0
01-Aug-2019,500.0
01-Jul-2017,10000.0
09-Mar-2020,1000.0
01-Aug-2019,1000.0
06-Apr-2020,200.0
01-Jul-2018,500.0
20-Jan-2020,10000.0
01-Aug-2019,10000.0
01-Sep-2019,300.0
01-Oct-2018,300.0
01-Sep-2019,100.0
08-Jul-2020,
30-Nov-2015,1000.0
01-Oct-2018,10000.0
01-Aug-2019,1000.0
01-Aug-2019,1100.0
17-Feb-2020,500.0
23-Apr-2020,1000.0
06-Apr-2020,1000.0
21-Feb-2020,1000.0
01-Jul-2019,20000.0
01-Sep-2018,10000.0
01-Aug-2018,
01-Aug-2013,1000.0
01-Sep-2019,200.0
10-Mar-2020,100000.0
03-Apr-2020,10000.0
01-Aug-2013,100000.0
01-Aug-2019,10000.0
01-Jul-2019,2000.0
01-Jul-2019,1000.0
01-Jul-2017,1000.0
01-Aug-2019,10000.0
31-Mar-2020,300.0
01-Jul-2019,200.0
12-Apr-2020,100000.0
01-Jul-2019,5000.0
01-Oct-2018,1000.0
01-Oct-2019,10000.0
01-Aug-2019,100000.0
01-Oct-2018,10000000.0
31-Mar-2020,100.0
31-Mar-2020,1000.0
01-Sep-2019,300.0
17-Dec-2019,10000.0
16-Apr-2020,10000.0
01-Aug-2019,10000.0
08-Jul-2020,
01-Jul-2019,2000.0
11-Nov-2022,1000.0
01-Oct-2019,500.0
29-Sep-2019,100000.0
13-Apr-2020,1000.0
07-Apr-2020,1000.0
12-Feb-2020,10000.0
01-Nov-2019,1000.0
01-Aug-2019,10000.0
01-Jul-2018,200.0
31-Mar-2020,100.0
01-Jul-2017,10000.0
01-Oct-2018,5000.0
12-Dec-2019,10000.0
01-Sep-2019,1000.0
01-Oct-2018,10000.0
11-Apr-2020,200.0
17-Feb-2020,1000.0
01-Sep-2019,400.0
01-Jul-2019,1000.0
03-Apr-2020,10000.0
15-Apr-2020,2000.0
01-Sep-2017,200.0
01-Aug-2019,100.0
12-Feb-2020,200.0
01-Sep-2015,500.0
03-Apr-2020,1000.0
10-Apr-2020,200.0
10-Mar-2020,400.0
01-Nov-2018,10000.0
01-Sep-2019,500.0
01-Oct-2019,1000.0
01-Jul-2019,10000.0
01-Jul-2019,1000.0
10-Apr-2020,200.0
10-Mar-2020,1000.0
22-Feb-2020,1000.0
12-Apr-2020,1000.0
01-Nov-2019,2000.0
31-Jan-2015,10000.0
02-Apr-2020,300.0
05-May-2020,300.0
22-Feb-2020,100000.0
01-Sep-2019,300.0
31-Mar-2020,1000.0
11-Mar-2020,200.0
06-Oct-2020,
01-Aug-2019,100000.0
01-Sep-2019,10000.0
15-Apr-2020,200.0
09-Mar-2020,1000000.0
09-Dec-2019,1000.0
01-Aug-2018,10000.0
01-Aug-2019,300.0
02-Apr-2020,10000.0
16-Jul-2020,
01-Oct-2019,
28-Sep-2022,
01-Oct-2019,100.0
11-Jun-2020,
10-Mar-2020,10000.0
01-Aug-2019,100000.0
17-Dec-2019,1000.0
01-Aug-2019,10000.0
29-Mar-2020,10000.0
17-Jan-2020,10000.0
01-Oct-2014,1000.0
01-Sep-2019,500.0
17-Feb-2020,1000.0
08-Jul-2020,
01-Oct-2018,1000000.0
01-Sep-2019,200.0
03-Apr-2020,10000.0
01-Aug-2019,300.0
01-Oct-2016,400.0
01-Aug-2019,200.0
01-Sep-2018,3000.0
01-Aug-2019,1000.0
