observation_date,number_found,running_total
2007-10-01,500.0,500.0
2009-06-01,1000.0,1500.0
2011-07-01,100000.0,101500.0
2011-07-01,10000.0,111500.0
2011-08-01,10000.0,121500.0
2011-08-01,500.0,122000.0
2011-09-01,10000.0,132000.0
2012-04-01,300.0,132300.0
2012-05-01,300.0,132600.0
2012-05-01,500.0,133100.0
2012-05-01,100.0,133200.0
2012-05-01,150.0,133350.0
2012-05-05,10000.0,143350.0
2012-07-01,2000.0,145350.0
2012-07-01,100.0,145450.0
2012-07-01,300.0,145750.0
2013-08-01,200.0,145950.0
2013-08-01,100.0,146050.0
2013-08-01,1000.0,147050.0
2013-08-01,,
2013-08-01,100000.0,247050.0
2013-10-01,300.0,247350.0
2013-10-01,10000.0,257350.0
2014-10-01,1000.0,258350.0
2015-01-31,10000.0,268350.0
2015-06-01,1000.0,269350.0
2015-09-01,10000.0,279350.0
2015-09-01,500.0,279850.0
2015-09-01,1000.0,280850.0
2015-10-01,2000.0,282850.0
2015-10-01,1000.0,283850.0
2015-10-09,2000.0,285850.0
2015-11-01,2000.0,287850.0
2015-11-01,10000.0,297850.0
2015-11-01,2000.0,299850.0
2015-11-30,100000.0,399850.0
2015-11-30,400.0,400250.0
2015-11-30,1000.0,401250.0
2015-11-30,10000.0,411250.0
2015-11-30,300.0,411550.0
2015-11-30,500.0,412050.0
2016-04-06,,
2016-08-01,300.0,412350.0
2016-10-01,400.0,412750.0
2017-07-01,300.0,413050.0
2017-07-01,10000.0,423050.0
2017-07-01,10000.0,433050.0
2017-07-01,300.0,433350.0
2017-07-01,500.0,433850.0
2017-07-01,1000.0,434850.0
2017-08-01,1000.0,435850.0
2017-09-01,200.0,436050.0
2017-09-01,300.0,436350.0
2017-09-01,100.0,436450.0
2018-07-01,500.0,436950.0
2018-07-01,200.0,437150.0
2018-07-01,1000.0,438150.0
2018-07-01,200.0,438350.0
2018-08-01,200.0,438550.0
2018-08-01,,
2018-08-01,1000.0,439550.0
2018-08-01,300.0,439850.0
2018-08-01,500.0,440350.0
2018-08-01,1000.0,441350.0
2018-08-01,10000.0,451350.0
2018-08-01,100.0,451450.0
2018-08-01,1000.0,452450.0
2018-08-01,1000.0,453450.0
2018-08-01,10000.0,463450.0
2018-08-01,1000.0,464450.0
2018-08-01,500.0,464950.0
2018-08-01,10000.0,474950.0
2018-08-01,200.0,475150.0
2018-08-01,200.0,475350.0
2018-08-01,,
2018-08-01,300.0,475650.0
2018-09-01,400.0,476050.0
2018-09-01,10000.0,486050.0
2018-09-01,3000.0,489050.0
2018-09-01,1000.0,490050.0
2018-09-01,1000.0,491050.0
2018-10-01,10000.0,501050.0
2018-10-01,100000.0,601050.0
2018-10-01,1000.0,602050.0
2018-10-01,10000.0,612050.0
2018-10-01,1000.0,613050.0
2018-10-01,5000.0,618050.0
2018-10-01,2000.0,620050.0
2018-10-01,1000000.0,1620050.0
2018-10-01,1000.0,1621050.0
2018-10-01,1000.0,1622050.0
2018-10-01,1000000.0,2622050.0
2018-10-01,1000.0,2623050.0
2018-10-01,1000.0,2624050.0
2018-10-01,100.0,2624150.0
2018-10-01,300.0,2624450.0
2018-10-01,10000.0,2634450.0
2018-10-01,1000.0,2635450.0
2018-10-01,10000.0,2645450.0
2018-10-01,10000.0,2655450.0
2018-10-01,10000000.0,12655450.0
2018-10-01,10000000.0,22655450.0
2018-10-01,300.0,22655750.0
2018-11-01,10000.0,22665750.0
2018-11-01,10000.0,22675750.0
2019-06-01,200.0,22675950.0
2019-07-01,2000.0,22677950.0
2019-07-01,10000.0,22687950.0
2019-07-01,100.0,22688050.0
2019-07-01,10000.0,22698050.0
2019-07-01,10000.0,22708050.0
2019-07-01,1000.0,22709050.0
2019-07-01,2000.0,22711050.0
2019-07-01,10000.0,22721050.0
2019-07-01,300.0,22721350.0
2019-07-01,1000.0,22722350.0
2019-07-01,500.0,22722850.0
2019-07-01,100.0,22722950.0
2019-07-01,10000.0,22732950.0
2019-07-01,10000.0,22742950.0
2019-07-01,10000.0,22752950.0
2019-07-01,10000.0,22762950.0
2019-07-01,10000.0,22772950.0
2019-07-01,2000.0,22774950.0
2019-07-01,1000.0,22775950.0
2019-07-01,20000.0,22795950.0
2019-07-01,500.0,22796450.0
2019-07-01,500.0,22796950.0
2019-07-01,10000.0,22806950.0
2019-07-01,1000.0,22807950.0
2019-07-01,2000.0,22809950.0
2019-07-01,300.0,22810250.0
2019-07-01,100000.0,22910250.0
2019-07-01,500.0,22910750.0
2019-07-01,1000000.0,23910750.0
2019-07-01,5000.0,23915750.0
2019-07-01,1000.0,23916750.0
2019-07-01,10000.0,23926750.0
2019-07-01,200.0,23926950.0
2019-07-01,10000.0,23936950.0
2019-07-01,300.0,23937250.0
2019-07-01,2000.0,23939250.0
2019-07-01,200.0,23939450.0
2019-07-01,1000.0,23940450.0
2019-07-01,1000.0,23941450.0
2019-07-01,5000.0,23946450.0
2019-07-01,10000.0,23956450.0
2019-07-01,2000.0,23958450.0
2019-07-01,1000.0,23959450.0
2019-07-01,500.0,23959950.0
2019-07-01,10000.0,23969950.0
2019-07-01,1000.0,23970950.0
2019-08-01,1000.0,23971950.0
2019-08-01,100.0,23972050.0
2019-08-01,50000.0,24022050.0
2019-08-01,100000.0,24122050.0
2019-08-01,1000.0,24123050.0
2019-08-01,10000.0,24133050.0
2019-08-01,10000.0,24143050.0
2019-08-01,10000.0,24153050.0
2019-08-01,10000.0,24163050.0
2019-08-01,10000.0,24173050.0
2019-08-01,1000000.0,25173050.0
2019-08-01,70.0,25173120.0
2019-08-01,1000.0,25174120.0
2019-08-01,1000.0,25175120.0
2019-08-01,1000.0,25176120.0
2019-08-01,100.0,25176220.0
2019-08-01,10000.0,25186220.0
2019-08-01,10000.0,25196220.0
2019-08-01,1000.0,25197220.0
2019-08-01,5000.0,25202220.0
2019-08-01,1000000.0,26202220.0
2019-08-01,1000.0,26203220.0
2019-08-01,500.0,26203720.0
2019-08-01,1000.0,26204720.0
2019-08-01,100000.0,26304720.0
2019-08-01,200.0,26304920.0
2019-08-01,600.0,26305520.0
2019-08-01,100000.0,26405520.0
2019-08-01,300.0,26405820.0
2019-08-01,1000000.0,27405820.0
2019-08-01,1000.0,27406820.0
2019-08-01,500.0,27407320.0
2019-08-01,1000.0,27408320.0
