cluster,observation_date,number_found,precipitation,humidity,wind_speed,temperature,root_zone_soil_wetness,surface_soil_wetness,soil_moisture
0,2007-10-01,500.0,0.01,86.56,2.09,12.56,0.59,0.62,0.63
0,2012-07-01,2100.0,0.55,75.69,1.9,20.86,0.57,0.59,0.59
0,2014-10-01,1000.0,1.22,92.69,1.22,13.19,0.51,0.56,0.59
0,2015-10-01,3000.0,0.0,68.88,3.0,8.03,0.6,0.62,0.59
0,2015-11-01,14000.0,2.4433333333333334,86.27,3.39,6.633333333333333,0.49,0.5633333333333334,0.5133333333333333
0,2015-11-30,111200.0,0.054000000000000006,76.312,1.796,-4.1,0.392,0.48,0.426
0,2018-07-01,200.0,6.06,83.44,1.5,26.76,0.57,0.62,0.59
0,2018-08-01,1000.0,2.22,81.44,2.37,23.86,0.34,0.41,0.38
0,2018-10-01,20002000.0,4.965,87.5775,1.3025,8.842500000000001,0.445,0.525,0.45999999999999996
0,2019-07-01,123500.0,0.6619047619047619,78.66809523809523,1.8666666666666665,20.387619047619047,0.5404761904761904,0.61,0.5928571428571429
0,2020-01-31,1000.0,0.02,88.25,1.8,-5.85,0.71,0.74,0.77
0,2020-02-17,13500.0,0.12,94.44,2.7,-10.33,0.79,0.8,0.78
0,2020-04-05,12000.0,0.64,94.0,2.19,5.45,0.57,0.67,0.66
0,2020-04-18,1000.0,0.02,64.06,1.83,3.76,0.79,0.79,0.81
1,2012-05-01,450.0,7.779999999999999,91.78,2.4450000000000003,10.1,0.69,0.745,0.6699999999999999
1,2012-05-05,10000.0,0.0,74.44,2.16,12.2,0.76,0.77,0.72
1,2013-08-01,101200.0,7.826666666666667,84.08666666666666,2.11,19.736666666666668,0.6833333333333332,0.6966666666666667,0.6733333333333333
1,2013-10-01,300.0,0.07,78.62,2.28,17.29,0.48,0.47,0.48
1,2015-09-01,10000.0,0.0,71.75,0.88,22.69,0.56,0.56,0.58
1,2017-09-01,600.0,0.0,58.373333333333335,1.96,12.736666666666666,0.54,0.5066666666666667,0.5166666666666667
1,2018-08-01,11300.0,5.56,86.44,2.93,23.74,0.48,0.48,0.47
1,2018-10-01,5000.0,6.61,86.88,2.94,13.13,0.48,0.52,0.47
1,2018-11-01,10000.0,9.79,97.75,1.58,8.23,0.73,0.78,0.73
1,2019-07-01,1143100.0,0.01,74.19,1.38,19.89,0.73,0.73,0.6999999999999998
1,2019-08-01,298600.0,0.005,68.1075,1.799375,22.115,0.5856250000000001,0.584375,0.58375
1,2019-09-01,3100.0,5.405,77.84333333333333,2.0816666666666666,16.30666666666667,0.5316666666666667,0.5483333333333333,0.5166666666666667
1,2019-10-01,123400.0,6.5912500000000005,83.52125000000001,3.04625,21.69625,0.5125,0.545,0.5025
1,2020-01-27,100000.0,3.09,97.69,3.5,-0.63,0.88,0.88,0.82
1,2020-01-28,210110000.0,0.8,97.19,2.71,-3.22,0.8800000000000001,0.8699999999999999,0.82
1,2020-02-21,11000.0,0.0,96.31,2.72,-10.46,0.91,0.88,0.91
1,2020-02-22,112000.0,0.01,90.325,3.5025,-3.6249999999999996,0.885,0.885,0.845
1,2020-03-31,4700.0,0.9825,84.9875,2.0974999999999997,5.505,0.7749999999999999,0.8025,0.7625
